manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,price_usd
ВАЗ,2109,mechanical,blue,225477,1991,gasoline,False,gasoline,1.3,hatchback,False,emergency,front,False,False,False,False,False,False,True,False,True,False,14.0,60.0
Renault,19,mechanical,blue,99999,1992,gasoline,False,gasoline,1.7,sedan,False,owned,front,True,False,False,False,False,False,False,False,False,False,3.0,10.0
Toyota,4Runner,automatic,black,265542,2004,gasoline,False,gasoline,4.0,suv,False,owned,rear,False,True,True,False,True,False,False,True,True,True,2189.0,20500.0
ГАЗ,69,mechanical,black,1000,1965,gasoline,False,gasoline,2.2,suv,False,owned,all,False,False,False,False,False,False,False,False,False,True,435.0,15000.0
Ford,E450,automatic,white,360000,2007,gasoline,False,gasoline,6.8,pickup,False,owned,rear,False,True,False,False,True,False,False,False,False,False,59.0,9500.0
Volkswagen,T4 Caravelle,mechanical,white,1,1995,diesel,False,diesel,2.4,minibus,False,owned,front,True,False,False,False,False,False,False,False,False,False,3.0,1.0
BMW,523,mechanical,blue,450000,1999,gasoline,False,gasoline,2.5,sedan,False,emergency,rear,False,False,False,False,True,True,False,False,False,False,1.0,9.49
ГАЗ,М20,mechanical,blue,100000,1950,gasoline,False,gasoline,2.4,hatchback,False,owned,rear,True,False,False,False,False,False,False,False,False,False,3.0,2000.0
Ford,Mondeo,mechanical,green,350000,1995,gasoline,False,gasoline,0.2,universal,False,owned,front,False,True,False,False,False,False,False,False,False,False,139.0,853.65
Mercedes-Benz,S500,automatic,black,300000,2006,gas,True,gasoline,0.5,sedan,False,owned,rear,False,True,True,True,True,True,True,True,True,True,99.0,9999.0
ГАЗ,М20,mechanical,brown,45000,1960,gasoline,False,gasoline,2.1,sedan,False,owned,rear,True,False,False,False,False,False,False,False,False,False,178.0,27000.0
Mercedes-Benz,Sprinter,mechanical,white,535000,2009,diesel,False,diesel,3.0,minibus,False,owned,rear,False,True,False,False,False,False,False,False,True,False,60.0,32000.0
Peugeot,406,mechanical,blue,200000,1997,gasoline,False,gasoline,1.6,sedan,False,emergency,front,True,False,False,False,False,False,False,False,False,False,1.0,1.0
